timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,60
35.000,ahe_mrta_v3,2,80
40.000,ahe_mrta_v3,3,80
45.000,ahe_mrta_v3,4,80
50.000,ahe_mrta_v3,5,80
55.000,ahe_mrta_v3,6,80
60.000,ahe_mrta_v3,7,80
65.000,ahe_mrta_v3,8,80
70.000,ahe_mrta_v3,9,72
75.000,ahe_mrta_v3,10,72
80.000,ahe_mrta_v3,11,72
85.000,ahe_mrta_v3,12,72
90.000,ahe_mrta_v3,13,72
95.000,ahe_mrta_v3,14,72
100.000,ahe_mrta_v3,15,72
105.000,ahe_mrta_v3,16,72
110.000,ahe_mrta_v3,17,72
115.000,ahe_mrta_v3,18,72
120.000,ahe_mrta_v3,19,72
125.000,ahe_mrta_v3,20,64
130.000,ahe_mrta_v3,21,60
135.000,ahe_mrta_v3,22,64
140.000,ahe_mrta_v3,23,64
145.000,ahe_mrta_v3,24,64
150.000,ahe_mrta_v3,25,64
155.000,ahe_mrta_v3,26,60
160.000,ahe_mrta_v3,27,56
165.002,ahe_mrta_v3,28,52
170.000,ahe_mrta_v3,29,52
