timestamp_s,strategy,alloc_num,footprint_bytes
35.000,ahe_mrta_v3,1,80
40.000,ahe_mrta_v3,2,80
45.000,ahe_mrta_v3,3,80
50.000,ahe_mrta_v3,4,80
55.000,ahe_mrta_v3,5,80
60.000,ahe_mrta_v3,6,80
65.000,ahe_mrta_v3,7,80
70.000,ahe_mrta_v3,8,76
75.000,ahe_mrta_v3,9,72
80.000,ahe_mrta_v3,10,72
85.000,ahe_mrta_v3,11,72
90.000,ahe_mrta_v3,12,72
95.000,ahe_mrta_v3,13,72
100.000,ahe_mrta_v3,14,72
105.000,ahe_mrta_v3,15,72
110.000,ahe_mrta_v3,16,72
115.000,ahe_mrta_v3,17,72
120.000,ahe_mrta_v3,18,72
125.000,ahe_mrta_v3,19,72
130.000,ahe_mrta_v3,20,72
135.000,ahe_mrta_v3,21,72
140.000,ahe_mrta_v3,22,72
145.000,ahe_mrta_v3,23,72
150.000,ahe_mrta_v3,24,72
155.000,ahe_mrta_v3,25,72
160.000,ahe_mrta_v3,26,72
165.000,ahe_mrta_v3,27,68
170.000,ahe_mrta_v3,28,64
